phase,date,species,alive,trap_site,arm,trap_type,trap_position,fence_colour,recapture,site_of_first_capture,size_class,truncated_tail
pre-treatment,2005-09-23,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-09-24,Gerrhosaurus flavigularis,alive,13C,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-26,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-26,Gerrhosaurus flavigularis,alive,Z3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-09-26,Gerrhosaurus flavigularis,alive,Z1,2,funnel,4,black,no,NA,adult,NA
pre-treatment,2005-09-27,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-09-29,Gerrhosaurus flavigularis,alive,Z1,2,bucket,NA,NA,yes,Z1,juvenile,NA
pre-treatment,2005-09-29,Psammophis crucifer,alive,Z2,4,funnel,8,blue,NA,NA,juvenile,NA
pre-treatment,2005-09-30,Pseudaspis cana,alive,Z2,2,funnel,3,blue,NA,NA,juvenile,NA
pre-treatment,2005-10-01,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-01,Gerrhosaurus flavigularis,alive,13C,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-01,Gerrhosaurus flavigularis,alive,D3,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-01,Trachylepis capensis,alive,D1,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-02,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-03,Agama aculeata distanti,alive,D1,3,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-03,Gerrhosaurus flavigularis,alive,6C,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-03,Gerrhosaurus flavigularis,alive,Z1,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-03,Leptotyphlops sp.,alive,6C,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-03,Trachylepis capensis,alive,D2,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-03,Trachylepis capensis,alive,13B,1,bucket,NA,NA,yes,13B,adult,yes
pre-treatment,2005-10-04,Agama aculeata distanti,alive,13A,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-04,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-04,Trachylepis varia,alive,D1,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-10-04,Trachylepis capensis,alive,D3,0,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-10-04,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-04,Trachylepis capensis,alive,6B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-05,Trachylepis capensis,alive,13A,4,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-05,Leptotyphlops sp.,alive,D2,0,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-05,Gerrhosaurus flavigularis,alive,D2,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-05,Leptotyphlops sp.,alive,D3,1,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-05,Trachylepis capensis,alive,D3,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-05,Trachylepis capensis,alive,6C,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-05,Gerrhosaurus flavigularis,alive,6A,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-06,Leptotyphlops sp.,alive,D2,1,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-06,Gerrhosaurus flavigularis,alive,6C,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-07,Lycophidion capense,alive,13C,4,funnel,8,blue,NA,NA,juvenile,NA
pre-treatment,2005-10-07,Leptotyphlops sp.,alive,D2,4,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,6B,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,6B,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,6C,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,Z2,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,D2,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-10,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-10,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,13C,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-10,Gerrhosaurus flavigularis,alive,13C,4,bucket,NA,NA,yes,13C,juvenile,NA
pre-treatment,2005-10-10,Trachylepis capensis,alive,13A,4,funnel,7,black,no,NA,juvenile,NA
pre-treatment,2005-10-11,Gerrhosaurus flavigularis,alive,13C,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-11,Gerrhosaurus flavigularis,alive,13C,1,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-10-11,Trachylepis capensis,alive,6C,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-11,Gerrhosaurus flavigularis,alive,6C,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-11,Trachylepis capensis,alive,6B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-11,Leptotyphlops sp.,alive,6B,4,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-10-12,Gerrhosaurus flavigularis,alive,6B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-12,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-12,Agama aculeata distanti,alive,D1,2,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-12,Agama aculeata distanti,alive,D1,4,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-12,Gerrhosaurus flavigularis,alive,13C,1,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-10-13,Agama aculeata distanti,alive,D1,0,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-10-13,Gerrhosaurus flavigularis,alive,D3,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-13,Trachylepis capensis,dead,6B,3,funnel,5,black,no,NA,adult,NA
pre-treatment,2005-10-14,Trachylepis capensis,alive,13A,0,bucket,NA,NA,yes,13A,juvenile,yes
pre-treatment,2005-10-14,Agama aculeata distanti,alive,13A,1,bucket,NA,NA,yes,13A,juvenile,NA
pre-treatment,2005-10-14,Gerrhosaurus flavigularis,alive,13C,4,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-10-14,Trachylepis capensis,alive,D1,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,13C,1,funnel,2,blue,yes,13C,adult,NA
pre-treatment,2005-10-17,Agama atra atra,alive,13C,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-17,Psammophis crucifer,alive,D1,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-17,Agama aculeata distanti,dead,D1,1,funnel,2,black,yes,D1,adult,NA
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,D2,4,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,D3,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,D3,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-17,Trachylepis capensis,alive,6B,3,funnel,5,black,no,NA,adult,NA
pre-treatment,2005-10-17,Trachylepis capensis,alive,6A,2,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-17,Trachylepis varia,alive,6A,2,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-17,Gerrhosaurus flavigularis,alive,6A,2,funnel,3,blue,no,NA,juvenile,yes
pre-treatment,2005-10-18,Trachylepis capensis,alive,13B,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-18,Psammophylax rhombeatus,alive,13C,1,funnel,2,blue,NA,NA,adult,NA
pre-treatment,2005-10-18,Hemachatus haemachatus,alive,D1,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-18,Gerrhosaurus flavigularis,alive,Z1,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-18,Lamprophis aurora,alive,6C,2,funnel,4,black,NA,NA,adult,NA
pre-treatment,2005-10-19,Trachylepis varia,alive,6C,2,funnel,3,blue,no,NA,adult,NA
pre-treatment,2005-10-20,Gerrhosaurus flavigularis,alive,6C,3,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-10-20,Gerrhosaurus flavigularis,alive,6B,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-21,Psammophis crucifer,alive,13B,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-21,Psammophis crucifer,alive,13B,1,funnel,2,black,NA,NA,adult,NA
pre-treatment,2005-10-21,Lamprophis capensis,alive,13C,0,bucket,NA,NA,NA,NA,juvenile,NA
pre-treatment,2005-10-21,Agama aculeata distanti,alive,D3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-21,Gerrhosaurus flavigularis,alive,D3,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-22,Hemachatus haemachatus,dead,13B,2,funnel,3,black,NA,NA,juvenile,NA
pre-treatment,2005-10-22,Trachylepis capensis,alive,6C,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-22,Trachylepis capensis,alive,6B,1,funnel,2,blue,no,NA,juvenile,NA
pre-treatment,2005-10-23,Gerrhosaurus flavigularis,alive,13C,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-23,Gerrhosaurus flavigularis,alive,Z1,4,funnel,8,black,yes,Z1,adult,yes
pre-treatment,2005-10-23,Trachylepis capensis,alive,6B,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-25,Trachylepis capensis,alive,D3,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-25,Gerrhosaurus flavigularis,alive,Z2,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-25,Gerrhosaurus flavigularis,alive,Z2,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-25,Psammophis crucifer,alive,6B,3,funnel,5,black,NA,NA,adult,NA
pre-treatment,2005-10-26,Agama aculeata distanti,alive,13A,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-27,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,13B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-28,Trachylepis capensis,alive,13B,4,funnel,7,black,yes,13B,adult,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,dead,D3,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,Z3,3,funnel,5,blue,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,6B,3,funnel,6,blue,no,NA,juvenile,NA
pre-treatment,2005-10-28,Gerrhosaurus flavigularis,alive,6B,4,funnel,8,blue,no,NA,adult,NA
pre-treatment,2005-10-29,Gerrhosaurus flavigularis,alive,6A,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-31,Gerrhosaurus flavigularis,alive,D3,3,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-10-31,Gerrhosaurus flavigularis,alive,D3,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-10-31,Agama aculeata distanti,alive,D3,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-10-31,Trachylepis capensis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-01,Gerrhosaurus flavigularis,alive,D3,4,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-11-01,Gerrhosaurus flavigularis,alive,Z3,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-02,Gerrhosaurus flavigularis,alive,D3,0,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-11-02,Trachylepis capensis,alive,D3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-03,Trachylepis capensis,alive,D3,4,bucket,NA,NA,yes,D3,adult,NA
pre-treatment,2005-11-03,Gerrhosaurus flavigularis,dead,6C,2,fence,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-04,Gerrhosaurus flavigularis,alive,13B,1,funnel,2,black,no,NA,adult,NA
pre-treatment,2005-11-04,Trachylepis capensis,alive,D3,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-04,Trachylepis capensis,alive,Z2,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-04,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-04,Trachylepis capensis,alive,6B,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-07,Trachylepis capensis,dead,D2,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-07,Gerrhosaurus flavigularis,alive,Z1,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-07,Gerrhosaurus flavigularis,alive,6B,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-08,Gerrhosaurus flavigularis,alive,13C,1,funnel,2,blue,yes,13C,adult,NA
pre-treatment,2005-11-08,Gerrhosaurus flavigularis,alive,6A,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-10,Leptotyphlops sp.,alive,D2,0,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-11-10,Pseudaspis cana,alive,Z3,2,funnel,3,blue,NA,NA,juvenile,NA
pre-treatment,2005-11-10,Gerrhosaurus flavigularis,alive,Z1,2,funnel,4,black,yes,Z1,adult,NA
pre-treatment,2005-11-10,Trachylepis capensis,alive,6B,3,funnel,5,black,yes,6B,adult,yes
pre-treatment,2005-11-14,Trachylepis capensis,alive,D3,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-14,Trachylepis varia,alive,Z3,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-14,Trachylepis varia,alive,Z2,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-15,Trachylepis capensis,alive,13C,1,funnel,2,blue,no,NA,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,13C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-17,Agama aculeata distanti,alive,D1,3,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,D2,3,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,Z2,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-17,Trachylepis capensis,alive,6B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-11-17,Gerrhosaurus flavigularis,alive,6B,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-17,Trachylepis capensis,alive,6A,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-18,Trachylepis capensis,alive,D1,1,bucket,NA,NA,yes,D1,adult,yes
pre-treatment,2005-11-18,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-18,Agama aculeata distanti,alive,D1,2,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-11-18,Trachylepis capensis,alive,D1,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-21,Trachylepis capensis,dead,13A,0,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-21,Trachylepis capensis,alive,13B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-21,Trachylepis capensis,alive,13B,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,dead,Z2,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Trachylepis capensis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Trachylepis capensis,alive,6B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,6B,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,dead,Z1,0,bucket,NA,NA,yes,Z1,juvenile,NA
pre-treatment,2005-11-22,Trachylepis capensis,dead,6A,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-11-22,Trachylepis capensis,alive,D1,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-22,Gerrhosaurus flavigularis,alive,D2,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-24,Gerrhosaurus flavigularis,alive,6A,1,funnel,2,black,no,NA,adult,NA
pre-treatment,2005-11-25,Trachylepis capensis,alive,Z3,4,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-11-25,Trachylepis capensis,alive,6C,3,bucket,NA,NA,yes,6C,adult,NA
pre-treatment,2005-11-29,Gerrhosaurus flavigularis,alive,13B,1,funnel,4,blue,no,NA,juvenile,NA
pre-treatment,2005-12-01,Trachylepis capensis,alive,D2,2,funnel,3,black,no,NA,adult,yes
pre-treatment,2005-12-04,Gerrhosaurus flavigularis,alive,13A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-04,Bitis arietans arietans,alive,13A,4,funnel,8,black,NA,NA,juvenile,NA
pre-treatment,2005-12-04,Trachylepis capensis,alive,13B,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-04,Gerrhosaurus flavigularis,alive,13C,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-04,Agama aculeata distanti,alive,D1,2,bucket,NA,NA,yes,D1,adult,NA
pre-treatment,2005-12-04,Trachylepis capensis,alive,D2,4,bucket,NA,NA,yes,D2,adult,NA
pre-treatment,2005-12-04,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-04,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-04,Trachylepis capensis,alive,D3,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-04,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-05,Typhlops bibronii,alive,6A,1,bucket,NA,NA,NA,NA,adult,NA
pre-treatment,2005-12-05,Gerrhosaurus flavigularis,alive,Z3,2,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-05,Trachylepis capensis,alive,13A,1,bucket,NA,NA,no,NA,juvenile,yes
pre-treatment,2005-12-06,Gerrhosaurus flavigularis,alive,6C,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-06,Gerrhosaurus flavigularis,alive,6B,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-06,Gerrhosaurus flavigularis,alive,Z1,1,funnel,1,blue,no,NA,juvenile,NA
pre-treatment,2005-12-07,Gerrhosaurus flavigularis,alive,13A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-08,Trachylepis varia,alive,D1,1,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-08,Gerrhosaurus flavigularis,alive,D3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Trachylepis capensis,alive,Z3,1,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Trachylepis capensis,alive,Z3,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Gerrhosaurus flavigularis,dead,Z2,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-08,Gerrhosaurus flavigularis,alive,6A,0,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-08,Trachylepis capensis,alive,D1,4,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-08,Trachylepis capensis,alive,6A,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-09,Gerrhosaurus flavigularis,alive,6A,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,13C,0,bucket,NA,NA,yes,13C,adult,NA
pre-treatment,2005-12-12,Trachylepis capensis,alive,D3,3,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-12,Trachylepis capensis,alive,Z1,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,6C,2,bucket,NA,NA,no,NA,adult,NA
pre-treatment,2005-12-12,Trachylepis capensis,alive,6C,2,bucket,NA,NA,yes,6B,adult,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,6C,3,funnel,6,blue,no,NA,juvenile,NA
pre-treatment,2005-12-12,Trachylepis varia,alive,6B,1,funnel,2,blue,no,NA,juvenile,NA
pre-treatment,2005-12-12,Gerrhosaurus flavigularis,alive,6B,4,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-14,Dasypeltis scabra,alive,13C,2,funnel,3,blue,NA,NA,adult,NA
pre-treatment,2005-12-14,Dasypeltis scabra,alive,Z2,3,funnel,6,black,NA,NA,adult,NA
pre-treatment,2005-12-15,Trachylepis varia,alive,Z1,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-16,Trachylepis capensis,alive,6C,2,bucket,NA,NA,no,NA,adult,yes
pre-treatment,2005-12-17,Causus rhombeatus,alive,D3,4,funnel,7,blue,NA,NA,juvenile,NA
pre-treatment,2005-12-17,Aparallactus capensis,alive,6B,3,funnel,6,blue,NA,NA,adult,NA
pre-treatment,2005-12-17,Trachylepis varia,alive,6A,1,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-17,Trachylepis varia,alive,6A,0,bucket,NA,NA,no,NA,juvenile,NA
pre-treatment,2005-12-20,Trachylepis capensis,alive,D3,1,funnel,2,blue,yes,D3,adult,yes
pre-treatment,2005-12-20,Gerrhosaurus flavigularis,alive,Z2,3,funnel,5,blue,no,NA,juvenile,NA
pre-treatment,2005-12-20,Gerrhosaurus flavigularis,dead,Z1,2,funnel,4,black,no,NA,adult,NA
pre-treatment,2005-12-21,Duberria lutrix,alive,Z3,3,funnel,5,blue,NA,NA,adult,NA
